feature,coef,abs_coef
sex,-1.3378537380234121,1.3378537380234121
ca,-1.1991487609980378,1.1991487609980378
cp_0,-1.1301972277912318,1.1301972277912318
exang,-0.8856893576841751,0.8856893576841751
thal_3,-0.791671357818502,0.791671357818502
thalach,0.7288766393304048,0.7288766393304048
cp_2,0.7061096742437876,0.7061096742437876
cp_3,0.6938797361027199,0.6938797361027199
age_decade_70,0.5717633976162532,0.5717633976162532
slope_1,-0.4315205258901402,0.4315205258901402
slope_2,0.42940689179307423,0.42940689179307423
thal_1,0.40867118345346615,0.40867118345346615
thal_2,0.38606696039255406,0.38606696039255406
trestbps,-0.34214914583935574,0.34214914583935574
cp_1,-0.2667253965277559,0.2667253965277559
oldpeak,-0.2511362591171691,0.2511362591171691
chol,-0.2411557119173119,0.2411557119173119
restecg_1,0.21522933333969652,0.21522933333969652
fbs,0.2044822604915961,0.2044822604915961
age,0.19111052373022214,0.19111052373022214
age_decade_40,-0.18925239368177504,0.18925239368177504
age_decade_50,-0.16383937210661592,0.16383937210661592
age_decade_30,-0.14749439418041274,0.14749439418041274
restecg_0,-0.12553049734756996,0.12553049734756996
age_decade_60,-0.10889770526682165,0.10889770526682165
restecg_2,-0.08663204996460774,0.08663204996460774
age_decade_20,0.04078725364689205,0.04078725364689205
slope_0,0.005180420124584825,0.005180420124584825
